go-function,2.534404,2.489483,2.568351,2.505226,2.464856,2.516836
go-run,2.470137,2.482595,2.524443,2.531120,2.554750,2.536749
java8-function,1.502765,1.492281,1.462594,1.495108,1.471767,1.498826
java8-run,1.574951,1.577518,1.589200,1.641979,1.613677,1.670218
nodejs-function,4.325688,9.902053,10.049843,4.329332,9.828988,9.978646
nodejs-run,4.675323,4.308198,9.888666,4.628684,4.315842,9.963256
python3-function,153.780390,151.968177,153.795434,152.403650,159.043670,153.141318
python3-run,144.024126,143.819413,145.370408,143.576825,143.062518,145.385919









